Drink ,Grinder,Espresso Grind Segment,Espresso Grind Range,Total Grind Range
Espresso,DF 54,Fine,5 to 10,0 to 90
Espresso,DF 54,Medium,11 to 16,0 to 90
Espresso,DF 54,Coarse,17 to 25,0 to 90
Espresso,DF 64,Fine,5 to 10,0 to 90
Espresso,DF 64,Medium,11 to 16,0 to 90
Espresso,DF 64,Coarse,17 to 25,0 to 90
Espresso,Baratza Sette 270,Fine,2 to 3,1 to 270
Espresso,Baratza Sette 270,Medium,4 to 5,1 to 270
Espresso,Baratza Sette 270,Coarse,6 to 7,1 to 270
Espresso,Baratza Encore ESP,Fine,1 to 7,1 to 40
Espresso,Baratza Encore ESP,Medium,8 to 14,1 to 40
Espresso,Baratza Encore ESP,Coarse,15 to 20,1 to 40
Espresso,Breville Smart Grinder Pro,Fine,5 to 11,1 to 60
Espresso,Breville Smart Grinder Pro,Medium,12 to 18,1 to 60
Espresso,Breville Smart Grinder Pro,Coarse,19 to 25,1 to 60
Espresso,Eureka Mignon Specialita,Fine,Na,Na
Espresso,Eureka Mignon Specialita,Medium,Na,Na
Espresso,Eureka Mignon Specialita,Coarse,Na,Na
Espresso,1Zpresso JX Pro,Fine,90 to 110,30 to 300
Espresso,1Zpresso JX Pro,Medium,111 to 130,30 to 300
Espresso,1Zpresso JX Pro,Coarse,131 to 150,30 to 300
